,n_obs,mean_ic,icir,t_stat,mean_rank_ic,ls_mean,ls_t,p_value
mom_5d,45.0,0.0014495370971074019,0.004303081744117558,0.028865949877755648,0.008788638262322486,0.005020949712677938,0.4210912709805419,0.9769715023600147
mom_20d,45.0,0.051618318218980996,0.16068593918591462,1.0779140491443069,0.05640768588137009,0.010985911172570466,1.0627880706876514,0.2810721151139477
mom_60d,45.0,-0.04968737357168391,-0.1222126522290815,-0.8198273942843024,-0.05366750208855471,-0.02335688266217213,-1.4002981071298757,0.41231451194422974
mom_120d,45.0,-0.03539669394722581,-0.0920670509362859,-0.6176045531444129,-0.020918964076858813,-0.013252498392188672,-0.9413799371577143,0.5368360425009884
neg_mom_5d,45.0,-0.0014495370971074019,-0.004303081744117558,-0.028865949877755648,-0.008788638262322486,-0.003323215726190911,-0.2919250827341882,0.9769715023600147
vol_20d,45.0,0.03186368933921023,0.07252699217998444,0.4865258541541227,0.016641604010025058,0.012704670439010041,0.974755632149369,0.6265943791240329
vol_60d,45.0,0.06700497858038121,0.1460161949497383,0.9795064131704291,0.05099415204678362,0.019239614321667337,1.2874646054921468,0.3273298214100029
log_mktcap,45.0,-0.05119332673731902,-0.15555954193867266,-1.0435251309708045,-0.0490559732664996,-0.005128198962427601,-0.4703686323849854,0.29670514776349166
ep,45.0,-0.04828258233797162,-0.1440631642841205,-0.9664050851790399,-0.033015873015873005,-0.018464732916742364,-1.5664776625436385,0.33384152050105764
amihud_20d,45.0,-0.020014299675933742,-0.07068173167739605,-0.4741474703941735,-0.04461152882205514,-0.020854586306729064,-1.3287750818664144,0.6353947493144809
log_volume_20d,45.0,0.06087049008346754,0.14655296515642066,0.9831071771817441,0.04728487886382622,0.01816924558059741,1.3082234374233281,0.3255546922925159
